VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.269030e+00 -6.364230e+00 1.001001e+00 1.000574e+00 1.001084e+00 1.001398e+00 1.195982e+00 1 0 -3.504406e-04 -5.108514e-04 -9.794804e-04 -5.067395e-04 -4.686290e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.769030e+00 -6.294232e+00 1.000443e+00 1.000254e+00 1.000466e+00 1.000614e+00 1.195557e+00 1 0 -6.938366e-04 -7.797576e-04 -1.276006e-03 -9.252790e-04 -4.962486e-04
-6.750000e+00 -5.792133e+00 9.999475e-01 9.998732e-01 1.000009e+00 9.999236e-01 1.195172e+00 1 0 -3.531774e-04 -7.917498e-04 -7.232819e-04 -9.575914e-04 6.846786e-05
-7.269030e+00 -6.364230e+00 1.001026e+00 1.000577e+00 1.001106e+00 1.001433e+00 1.195991e+00 1 0 -3.631547e-04 -9.179227e-04 -1.009813e-03 -1.174159e-03 -9.188991e-05
-7.250000e+00 -5.861107e+00 1.000338e+00 1.000076e+00 1.000408e+00 1.000468e+00 1.195440e+00 1 0 -2.744643e-04 -1.094793e-03 -6.097689e-04 -1.578114e-03 4.850243e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.750000e+00 -5.792133e+00 9.999250e-01 9.998498e-01 9.999735e-01 9.998921e-01 1.195143e+00 1 0 -4.191759e-04 -2.364365e-04 -7.715095e-04 -4.419259e-04 -5.350731e-04
-6.769030e+00 -5.294232e+00 9.997915e-01 9.997799e-01 9.998265e-01 9.997080e-01 1.195043e+00 1 0 -2.447125e-06 -1.217431e-04 -7.499407e-05 -2.767735e-04 4.674904e-05
-7.250000e+00 -5.861107e+00 1.000316e+00 1.000050e+00 1.000366e+00 1.000437e+00 1.195405e+00 1 0 -3.471394e-04 -6.019862e-04 -6.795907e-04 -1.086072e-03 -7.760454e-05
-7.269030e+00 -5.364230e+00 9.998513e-01 9.997904e-01 9.998872e-01 9.997895e-01 1.195073e+00 1 0 1.896541e-05 -5.438783e-04 -4.024200e-05 -1.028253e-03 5.036363e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.769030e+00 -5.294232e+00 9.997812e-01 9.997728e-01 9.998141e-01 9.996938e-01 1.195034e+00 1 0 -1.185375e-05 1.183121e-04 -6.075562e-05 1.678887e-05 -1.790677e-04
-6.823223e+00 -4.800459e+00 9.998416e-01 9.998485e-01 9.998530e-01 9.997791e-01 1.195088e+00 1 0 1.104030e-04 1.901490e-04 2.084284e-04 1.372970e-04 1.827940e-05
-7.269030e+00 -5.364230e+00 9.998250e-01 9.997721e-01 9.998500e-01 9.997529e-01 1.195046e+00 1 0 -2.589506e-05 -4.998805e-05 -8.910418e-05 -3.480414e-04 -3.911613e-05
-7.323223e+00 -4.873285e+00 9.997478e-01 9.997827e-01 9.997483e-01 9.996475e-01 1.195008e+00 1 0 1.186349e-04 6.073098e-05 2.103339e-04 -1.487371e-04 1.496029e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.823223e+00 -4.800459e+00 9.998423e-01 9.998511e-01 9.998557e-01 9.997802e-01 1.195090e+00 1 0 1.234729e-04 1.727302e-04 2.296553e-04 1.655166e-04 5.692509e-05
-6.904329e+00 -4.310452e+00 9.999176e-01 9.999240e-01 9.999181e-01 9.998853e-01 1.195154e+00 1 0 6.363944e-05 1.678734e-04 1.663885e-04 1.709821e-04 -1.484867e-06
-7.323223e+00 -4.873285e+00 9.997389e-01 9.997800e-01 9.997384e-01 9.996351e-01 1.195003e+00 1 0 1.102868e-04 2.024432e-04 1.953668e-04 1.538179e-04 -7.076309e-06
-7.404329e+00 -4.387260e+00 9.998380e-01 9.998794e-01 9.998241e-01 9.997743e-01 1.195089e+00 1 0 5.970965e-05 2.384125e-04 1.616380e-04 2.522779e-04 -7.677450e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.904329e+00 -4.310452e+00 9.999205e-01 9.999274e-01 9.999234e-01 9.998892e-01 1.195158e+00 1 0 7.411337e-05 8.455872e-05 1.691399e-04 1.209290e-04 8.458117e-05
-7.000000e+00 -3.823223e+00 9.999434e-01 9.999556e-01 9.999579e-01 9.999210e-01 1.195190e+00 1 0 8.857860e-06 5.603000e-05 4.933875e-05 7.966087e-05 -6.691252e-06
-7.404329e+00 -4.387260e+00 9.998405e-01 9.998838e-01 9.998310e-01 9.997779e-01 1.195096e+00 1 0 7.137605e-05 1.531026e-04 1.629853e-04 2.406642e-04 9.882761e-06
-7.500000e+00 -3.904329e+00 9.999143e-01 9.999452e-01 9.999249e-01 9.998805e-01 1.195171e+00 1 0 2.793494e-06 1.313635e-04 4.301453e-05 2.181284e-04 -8.834898e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.000000e+00 -3.823223e+00 9.999430e-01 9.999564e-01 9.999603e-01 9.999204e-01 1.195192e+00 1 0 1.084814e-05 1.451476e-05 4.178428e-05 6.571992e-05 2.726951e-05
-7.095671e+00 -3.336993e+00 9.999369e-01 9.999611e-01 9.999826e-01 9.999118e-01 1.195210e+00 1 0 1.697385e-06 9.920825e-06 2.181397e-06 3.751849e-05 -7.739428e-06
-7.500000e+00 -3.904329e+00 9.999174e-01 9.999483e-01 9.999321e-01 9.998848e-01 1.195177e+00 1 0 1.333988e-05 3.769624e-05 4.705318e-05 1.320673e-04 9.356943e-06
-7.595671e+00 -3.421938e+00 9.999247e-01 9.999593e-01 9.999775e-01 9.998947e-01 1.195209e+00 1 0 -1.662839e-06 1.718984e-05 -3.236569e-06 8.109222e-05 -2.042641e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.095671e+00 -3.336993e+00 9.999359e-01 9.999615e-01 9.999817e-01 9.999104e-01 1.195210e+00 1 0 6.046318e-06 -1.222325e-05 -7.290334e-06 7.660508e-05 4.932913e-06
-7.176777e+00 -2.849389e+00 9.999213e-01 9.999549e-01 1.000025e+00 9.998900e-01 1.195235e+00 1 0 1.554038e-05 -9.165949e-06 -2.452015e-05 9.930858e-05 -1.535420e-05
-7.595671e+00 -3.421938e+00 9.999241e-01 9.999596e-01 9.999781e-01 9.998938e-01 1.195209e+00 1 0 4.664335e-06 -2.184374e-05 -1.026923e-05 1.005945e-04 1.157451e-05
-7.676777e+00 -2.937215e+00 9.998954e-01 9.999486e-01 1.000029e+00 9.998537e-01 1.195240e+00 1 0 1.152343e-05 -1.887468e-05 -2.800318e-05 1.060436e-04 -9.128499e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.176777e+00 -2.849389e+00 9.999187e-01 9.999555e-01 1.000028e+00 9.998864e-01 1.195238e+00 1 0 1.750655e-05 -2.087993e-05 -1.465096e-05 6.505171e-05 6.228973e-06
